                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.41028,                0.25233,                 1.0051,                0.97408,                0.98447,                0.97801,                  0.901,                 0.4362,                0.21763,                0.99845,             0.00011427,             0.00011427,             0.00011427
                     88,                0.40325,                 0.2456,                0.99673,                0.97875,                0.98369,                0.98011,                0.90408,                  0.433,                0.21944,                0.99658,             0.00010666,             0.00010666,             0.00010666
                     89,                0.40938,                0.25329,                 1.0018,                0.97538,                0.98154,                0.97804,                0.90491,                0.43152,                0.22134,                0.99009,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     90,                0.39995,                0.24687,                0.99439,                0.97804,                0.98474,                0.97979,                0.90836,                0.43751,                0.21539,                 1.0029,             9.1434e-05,             9.1434e-05,             9.1434e-05
                     91,                0.38071,                0.18804,                 1.0078,                0.96817,                0.98429,                0.97921,                0.90154,                0.43973,                0.22494,                0.99754,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     92,                 0.3662,                0.17822,                0.98657,                0.97512,                0.97996,                0.97811,                0.90248,                 0.4373,                0.22982,                 1.0017,             7.6208e-05,             7.6208e-05,             7.6208e-05
                     93,                0.35823,                0.17723,                0.97887,                0.97813,                0.97695,                0.97795,                 0.9021,                0.43698,                0.22762,                0.99919,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     94,                0.35231,                0.17431,                0.97974,                0.97961,                0.97763,                 0.9783,                0.90352,                0.43011,                0.22294,                0.98917,             6.0982e-05,             6.0982e-05,             6.0982e-05
                     95,                0.34704,                0.17335,                0.97624,                0.98135,                0.97931,                0.97863,                0.90467,                0.42081,                0.21757,                0.97909,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     96,                0.34219,                 0.1703,                0.96908,                0.98081,                0.97873,                0.97849,                0.90559,                0.43009,                0.22032,                0.99167,             4.5756e-05,             4.5756e-05,             4.5756e-05
                     97,                  0.336,                0.16812,                0.96613,                0.98023,                0.97834,                0.97891,                0.90409,                0.43423,                 0.2228,                0.99666,             3.8142e-05,             3.8142e-05,             3.8142e-05
                     98,                0.32605,                0.16325,                0.95637,                0.97996,                0.97905,                0.97811,                 0.9064,                 0.4265,                0.21893,                0.99431,             3.0529e-05,             3.0529e-05,             3.0529e-05
                     99,                0.32743,                 0.1651,                0.96582,                 0.9789,                0.97881,                 0.9783,                0.90714,                0.42354,                0.22229,                0.98515,             2.2916e-05,             2.2916e-05,             2.2916e-05
                    100,                0.32444,                0.16154,                0.95965,                0.98119,                0.97862,                0.97839,                 0.9061,                0.42151,                0.22217,                0.98396,             1.5303e-05,             1.5303e-05,             1.5303e-05
